matchId,teamId,laneOutcome,laneEventTimestampMs,laneEventTimestampMin,adc_kills,adc_deaths,support_kills,support_deaths,support_wardsPlaced,jungle_kills,jungle_deaths,team_hordeKills,team_dragonKills
KR_8351048949,100,WIN,941988,15.7,3,3,0,2,20,4,1,1,0
KR_8351048949,200,LOSE,941988,15.7,2,1,1,4,55,3,1,2,2
KR_8349516694,100,LOSE,961010,16.02,1,3,0,1,20,7,5,0,0
KR_8349516694,200,WIN,961010,16.02,6,4,0,3,18,5,2,3,0
KR_8349003390,100,LOSE,655795,10.93,0,4,2,2,6,1,0,3,0
KR_8349003390,200,WIN,655795,10.93,4,0,1,1,36,3,1,0,1
KR_8348597050,100,LOSE,913076,15.22,1,6,1,2,19,2,2,3,0
KR_8348597050,200,WIN,913076,15.22,1,4,5,0,17,5,0,0,2
KR_8348552489,100,WIN,983550,16.39,4,4,1,5,20,3,2,2,0
KR_8348552489,200,LOSE,983550,16.39,3,2,2,4,20,3,4,1,2
KR_8354547265,100,LOSE,883105,14.72,5,5,0,7,11,1,4,0,1
KR_8354547265,200,WIN,883105,14.72,9,4,0,6,14,4,3,3,1
KR_8354466845,100,LOSE,953802,15.9,7,3,1,2,57,5,1,3,0
KR_8354466845,200,WIN,953802,15.9,6,6,0,3,20,3,4,0,1
KR_8350658415,100,LOSE,886020,14.77,2,1,0,2,13,1,6,1,0
KR_8350658415,200,WIN,886020,14.77,0,2,1,0,17,3,1,2,1
KR_8349133360,100,WIN,978393,16.31,4,6,2,5,16,4,4,3,0
KR_8349133360,200,LOSE,978393,16.31,2,4,0,3,24,10,2,0,2
KR_8348921613,100,LOSE,779336,12.99,1,3,0,1,10,1,4,1,0
KR_8348921613,200,WIN,779336,12.99,2,2,2,1,11,5,1,2,1
KR_8348867720,100,LOSE,963483,16.06,1,4,1,2,18,1,3,0,0
KR_8348867720,200,WIN,963483,16.06,3,2,0,1,21,6,1,3,2
KR_8348493034,100,LOSE,822537,13.71,5,2,1,2,14,3,3,0,0
KR_8348493034,200,WIN,822537,13.71,2,3,0,3,21,1,2,3,1
KR_8348437912,100,LOSE,721869,12.03,5,8,1,5,10,1,2,0,1
KR_8348437912,200,WIN,721869,12.03,5,4,0,2,10,6,1,3,0
KR_8347500634,100,LOSE,805384,13.42,3,2,3,3,12,3,2,0,1
KR_8347500634,200,WIN,805384,13.42,1,4,0,2,23,3,1,3,0
KR_8347049369,100,LOSE,909087,15.15,2,2,1,0,20,5,1,3,0
KR_8347049369,200,WIN,909087,15.15,1,3,1,2,16,2,1,0,2
KR_8346971247,100,WIN,804197,13.4,1,1,2,1,13,2,0,3,0
KR_8346971247,200,LOSE,804197,13.4,0,2,1,3,18,0,1,0,1
KR_8346901873,100,WIN,1015196,16.92,8,1,0,4,21,7,3,3,1
KR_8346901873,200,LOSE,1015196,16.92,2,6,0,1,21,4,5,0,1
KR_8346858504,100,WIN,817674,13.63,8,1,0,2,41,5,1,0,1
