matchId,teamId,win,laneEventTimestampMs,laneOutcome,adc_kills,adc_deaths,support_kills,support_deaths,jungle_kills,jungle_deaths,support_wardsPlaced,team_hordeKills,team_dragonKills,adc_masteryPoints,support_masteryPoints
KR_8351048949,100,False,941988,WIN,3,3,0,2,4,1,20,1,0,30858,435490
KR_8351048949,200,True,941988,LOSE,2,1,1,4,3,1,55,2,2,169196,348248
KR_8349516694,100,False,961010,LOSE,1,3,0,1,7,5,20,0,0,959551,114885
KR_8349516694,200,True,961010,WIN,6,4,0,3,5,2,18,3,0,125204,107595
KR_8349003390,100,False,655795,LOSE,0,4,2,2,1,0,6,3,0,77535,30615
KR_8349003390,200,True,655795,WIN,4,0,1,1,3,1,36,0,1,78931,184691
KR_8348597050,100,False,913076,LOSE,1,6,1,2,2,2,19,3,0,143923,1479269
KR_8348597050,200,True,913076,WIN,1,4,5,0,5,0,17,0,2,15677,82436
KR_8348552489,100,False,983550,WIN,4,4,1,5,3,2,20,2,0,78931,204802
KR_8348552489,200,True,983550,LOSE,3,2,2,4,3,4,20,1,2,122738,645187
KR_8354547265,100,True,883105,LOSE,5,5,0,7,1,4,11,0,1,11440,40695
KR_8354547265,200,False,883105,WIN,9,4,0,6,4,3,14,3,1,426866,120152
KR_8354466845,100,False,953802,LOSE,7,3,1,2,5,1,57,3,0,420407,167803
KR_8354466845,200,True,953802,WIN,6,6,0,3,3,4,20,0,1,72829,12521
KR_8350658415,100,False,886020,LOSE,2,1,0,2,1,6,13,1,0,41062,481918
KR_8350658415,200,True,886020,WIN,0,2,1,0,3,1,17,2,1,48228,948290
KR_8349133360,100,False,978393,WIN,4,6,2,5,4,4,16,3,0,198171,14513
KR_8349133360,200,True,978393,LOSE,2,4,0,3,10,2,24,0,2,17852,123601
KR_8348921613,100,False,779336,LOSE,1,3,0,1,1,4,10,1,0,746521,758
KR_8348921613,200,True,779336,WIN,2,2,2,1,5,1,11,2,1,110110,120152
KR_8348867720,100,False,963483,LOSE,1,4,1,2,1,3,18,0,0,676960,45428
KR_8348867720,200,True,963483,WIN,3,2,0,1,6,1,21,3,2,30631,34142
KR_8348493034,100,False,822537,LOSE,5,2,1,2,3,3,14,0,0,84645,50383
KR_8348493034,200,True,822537,WIN,2,3,0,3,1,2,21,3,1,271315,76502
KR_8348437912,100,False,721869,LOSE,5,8,1,5,1,2,10,0,1,222084,38501
KR_8348437912,200,True,721869,WIN,5,4,0,2,6,1,10,3,0,66249,360268
KR_8347500634,100,False,805384,LOSE,3,2,3,3,3,2,12,0,1,3926,30153
KR_8347500634,200,True,805384,WIN,1,4,0,2,3,1,23,3,0,6243,1859
KR_8347049369,100,True,909087,LOSE,2,2,1,0,5,1,20,3,0,141285,285216
KR_8347049369,200,False,909087,WIN,1,3,1,2,2,1,16,0,2,1079305,250898
KR_8346971247,100,True,804197,WIN,1,1,2,1,2,0,13,3,0,130577,120152
KR_8346971247,200,False,804197,LOSE,0,2,1,3,0,1,18,0,1,227480,1082604
KR_8346901873,100,True,1015196,WIN,8,1,0,4,7,3,21,3,1,557632,5190
KR_8346901873,200,False,1015196,LOSE,2,6,0,1,4,5,21,0,1,65741,20313
KR_8346858504,100,True,817674,WIN,8,1,0,2,5,1,41,0,1,551436,24031
KR_8346858504,200,False,817674,LOSE,2,5,2,6,1,3,13,3,1,742841,252789
KR_8345953638,100,True,940727,WIN,5,6,0,2,5,2,61,3,0,53826,374806
KR_8345953638,200,False,940727,LOSE,3,6,2,3,5,3,20,0,2,14493,425879
KR_8345859664,100,True,793622,WIN,1,3,1,2,6,0,39,3,1,20003,3549648
KR_8345859664,200,False,793622,LOSE,0,1,0,2,5,3,9,0,0,155170,6003201
KR_8345809742,100,False,839201,LOSE,4,2,1,1,1,3,13,1,0,77096,1479269
KR_8345809742,200,True,839201,WIN,2,5,2,1,1,1,9,2,1,403380,30777
KR_8345750094,100,False,974077,WIN,1,4,2,5,2,1,13,1,0,42777,89255
KR_8345750094,200,True,974077,LOSE,1,2,3,3,4,3,18,2,1,225848,69710
KR_8345690183,100,True,776478,WIN,2,1,0,0,2,1,26,2,1,44360,12016
KR_8345690183,200,False,776478,LOSE,1,2,0,3,0,2,9,1,0,160246,89131
KR_8345638374,100,False,935296,LOSE,3,0,0,2,2,5,18,1,0,1168539,78392
KR_8345638374,200,True,935296,WIN,2,2,0,2,4,1,18,2,2,514341,14465
KR_8344709088,100,False,759478,LOSE,0,1,3,4,1,0,8,3,1,3646,4355
KR_8344709088,200,True,759478,WIN,2,1,1,2,2,1,9,0,0,125496,259392
KR_8344624634,100,False,860277,LOSE,2,5,0,2,1,2,13,0,0,410499,706409
KR_8344624634,200,True,860277,WIN,4,0,3,3,6,1,19,3,2,31966,120152
KR_8344552152,100,False,768686,LOSE,4,2,1,4,0,3,14,0,0,509695,87815
KR_8344552152,200,True,768686,WIN,3,3,1,2,4,0,7,3,1,47223,76792
KR_8344510259,100,True,888599,WIN,5,1,5,2,9,1,53,1,1,97701,58334
KR_8344510259,200,False,888599,LOSE,1,4,2,5,1,6,10,2,1,44164,7270
KR_8352974176,100,True,825940,WIN,8,2,1,1,5,1,13,3,1,264638,333929
KR_8352974176,200,False,825940,LOSE,1,5,1,5,2,5,13,0,0,276733,92883
KR_8352932903,100,False,824884,WIN,3,4,0,4,2,2,26,2,0,311401,31366
KR_8352932903,200,True,824884,LOSE,5,3,1,2,4,0,11,1,2,138561,1587305
KR_8352916175,100,False,913990,WIN,5,3,2,7,4,4,14,2,0,132055,431143
KR_8352916175,200,True,913990,LOSE,2,3,1,4,6,4,52,1,2,11578,63891
KR_8351332373,100,True,1076702,WIN,1,3,1,2,2,3,69,0,0,56658,262228
KR_8351332373,200,False,1076702,LOSE,3,2,2,4,4,3,28,3,1,44335,166828
KR_8351277055,100,False,855083,LOSE,1,5,0,3,1,0,10,3,0,245503,3848
KR_8351277055,200,True,855083,WIN,4,1,0,0,0,1,14,0,1,276733,80592
KR_8351162492,100,True,953858,WIN,4,1,1,6,6,3,21,3,2,685439,12585
KR_8351162492,200,False,953858,LOSE,1,4,1,3,7,3,14,0,0,315560,138097
KR_8351086698,100,True,624412,WIN,4,1,3,5,3,0,3,3,1,153080,49143
KR_8351086698,200,False,624412,LOSE,1,5,2,3,3,1,5,0,0,79338,9700
KR_8350987623,100,True,849650,WIN,4,6,2,3,5,0,9,3,1,57309,91892
KR_8350987623,200,False,849650,LOSE,6,5,2,4,4,3,16,0,0,79338,106186
KR_8350879633,100,True,909038,LOSE,4,6,3,4,5,6,12,2,0,85840,64221
KR_8350879633,200,False,909038,WIN,7,4,1,3,7,3,12,1,1,30631,2357013
KR_8349782807,100,False,587300,WIN,5,3,1,2,3,2,7,0,0,6818,133200
KR_8349782807,200,True,587300,LOSE,3,4,1,3,2,2,11,2,0,38559,56833
KR_8347771130,100,False,818932,LOSE,1,5,2,4,2,2,10,0,0,90131,35802
KR_8347771130,200,True,818932,WIN,4,4,3,1,8,0,11,3,2,384475,186618
KR_8347540120,100,True,822832,WIN,4,3,2,3,5,2,16,2,1,137938,2310379
KR_8347540120,200,False,822832,LOSE,4,4,4,7,3,5,15,1,0,4945121,51605
KR_8347392829,100,True,980625,WIN,0,2,0,0,7,3,73,3,2,1351723,78678
KR_8347392829,200,False,980625,LOSE,1,1,1,2,1,7,22,0,0,79421,541972
KR_8347323680,100,True,824059,WIN,3,2,1,2,2,2,11,3,1,34509,400890
KR_8347323680,200,False,824059,LOSE,2,3,0,2,4,1,9,0,1,487570,694055
KR_8346765343,100,False,858977,WIN,2,6,5,5,1,5,16,0,0,3428,79280
KR_8346765343,200,True,858977,LOSE,6,2,5,0,6,5,14,3,1,372901,24884
KR_8346464182,100,False,1066476,WIN,4,6,8,3,4,2,20,3,2,49387,20542
KR_8346464182,200,True,1066476,LOSE,6,6,3,4,4,2,58,0,0,132055,36243
KR_8346451176,100,False,831613,LOSE,3,3,1,2,3,1,13,1,0,525914,95251
KR_8346451176,200,True,831613,WIN,2,5,0,2,3,1,17,2,0,143923,17372
KR_8346406942,100,True,747292,WIN,8,1,6,2,0,0,9,3,1,426341,51312
KR_8346406942,200,False,747292,LOSE,0,5,0,4,4,4,36,0,1,301220,66589
KR_8346101007,100,True,958302,LOSE,7,6,9,0,0,2,17,3,1,202355,33663
KR_8346101007,200,False,958302,WIN,7,10,1,5,3,5,13,0,1,15117,19357
KR_8346031984,100,False,776296,LOSE,0,4,1,3,3,2,12,1,0,90567,112579
