matchId,teamId,win,adc_championName,adc_masteryPoints,adc_masteryLevel,support_championName,support_masteryPoints,support_masteryLevel
KR_8351048949,100,False,Ezreal,30858,5,Alistar,435490,42
KR_8351048949,200,True,Sivir,169196,18,Bard,348248,34
KR_8349516694,100,False,Ezreal,959551,90,Karma,114885,13
KR_8349516694,200,True,Aphelios,125204,14,Nautilus,107595,12
KR_8349003390,100,False,Jhin,77535,10,Nautilus,30615,5
KR_8349003390,200,True,Ezreal,78931,10,Bard,184691,19
KR_8348597050,100,False,Kalista,143923,16,Thresh,1479269,137
KR_8348597050,200,True,Taliyah,15677,4,Camille,82436,10
KR_8348552489,100,False,Ezreal,78931,10,Karma,204802,21
KR_8348552489,200,True,Jhin,122738,14,Pyke,645187,61
KR_8348542193,100,False,Lucian,164350,18,Milio,23814,5
KR_8348542193,200,True,MissFortune,56658,8,Rell,758125,72
KR_8354547265,100,True,Lucian,11440,3,Camille,40695,6
KR_8354547265,200,False,Viego,426866,41,Rakan,120152,14
KR_8354466845,100,False,Tristana,420407,41,Shen,167803,17
KR_8354466845,200,True,Yunara,72829,9,Alistar,12521,3
KR_8350658415,100,False,Corki,41062,6,Braum,481918,46
KR_8350658415,200,True,Kaisa,48228,7,Rakan,948290,89
KR_8349133360,100,False,Kalista,198171,21,Renata,14513,4
KR_8349133360,200,True,Xayah,17852,4,Rakan,123601,14
KR_8348921613,100,False,Taliyah,746521,70,Nautilus,758,1
KR_8348921613,200,True,Yunara,110110,13,Rakan,120152,14
KR_8348867720,100,False,Hwei,676960,64,Rakan,45428,7
KR_8348867720,200,True,Ziggs,30631,5,Alistar,34142,6
KR_8348493034,100,False,Jhin,84645,10,Camille,50383,7
KR_8348493034,200,True,Kalista,271315,27,Renata,76502,10
KR_8348437912,100,False,Yunara,222084,23,Lulu,38501,6
KR_8348437912,200,True,Ezreal,66249,9,Karma,360268,35
KR_8348203572,100,True,Corki,116451,13,Karma,490804,47
KR_8348203572,200,False,Aphelios,685439,65,Lulu,262846,27
KR_8347500634,100,False,Xerath,3926,2,Rakan,30153,5
KR_8347500634,200,True,Lucian,6243,3,Milio,1859,2
KR_8347049369,100,True,Kaisa,141285,15,Neeko,285216,29
KR_8347049369,200,False,Ezreal,1079305,101,Karma,250898,25
KR_8346971247,100,True,Ezreal,130577,14,Rakan,120152,14
KR_8346971247,200,False,Corki,227480,23,Zoe,1082604,98
KR_8346901873,100,True,Kaisa,557632,53,Nautilus,5190,2
KR_8346901873,200,False,Xayah,65741,9,Rakan,20313,4
KR_8346858504,100,True,Ezreal,551436,53,Bard,24031,5
KR_8346858504,200,False,Draven,742841,70,Neeko,252789,26
KR_8345953638,100,True,Viktor,53826,8,Bard,374806,37
KR_8345953638,200,False,Locke,14493,4,Taric,425879,41
KR_8345859664,100,True,Mel,20003,4,Bard,3549648,325
KR_8345859664,200,False,Ambessa,155170,17,Rell,6003201,501
KR_8345809742,100,False,MissFortune,77096,10,Thresh,1479269,137
KR_8345809742,200,True,Taliyah,403380,39,Leona,30777,5
KR_8345750094,100,False,Corki,42777,7,Swain,89255,11
KR_8345750094,200,True,Caitlyn,225848,23,Pantheon,69710,9
KR_8345690183,100,True,Ashe,44360,7,Milio,12016,3
KR_8345690183,200,False,Kalista,160246,17,Renata,89131,11
KR_8345638374,100,False,Xerath,1168539,108,Nautilus,78392,10
KR_8345638374,200,True,Kaisa,514341,49,Skarner,14465,4
KR_8344709088,100,False,Ziggs,3646,2,Trundle,4355,2
KR_8344709088,200,True,Tristana,125496,14,Seraphine,259392,26
KR_8344624634,100,False,Jinx,410499,40,Singed,706409,67
KR_8344624634,200,True,Sivir,31966,6,Rakan,120152,14
KR_8344552152,100,False,Syndra,509695,49,Poppy,87815,11
KR_8344552152,200,True,Ezreal,47223,7,Trundle,76792,10
KR_8344510259,100,True,Cassiopeia,97701,12,Shen,58334,8
KR_8344510259,200,False,Syndra,44164,7,Nautilus,7270,3
KR_8352974176,100,True,Taliyah,264638,27,Alistar,333929,33
KR_8352974176,200,False,Yunara,276733,28,Lulu,92883,11
KR_8352932903,100,False,Lucian,311401,31,Milio,31366,5
KR_8352932903,200,True,Yunara,138561,15,Thresh,1587305,147
KR_8352916175,100,False,Viktor,132055,15,Camille,431143,42
KR_8352916175,200,True,Jhin,11578,3,Bard,63891,8
KR_8351332373,100,True,MissFortune,56658,8,Bard,262228,26
KR_8351332373,200,False,Jhin,44335,7,Rell,166828,18
KR_8351277055,100,False,Caitlyn,245503,25,Lux,3848,2
KR_8351277055,200,True,Yunara,276733,28,Lulu,80592,10
KR_8351162492,100,True,Aphelios,685439,65,Rakan,12585,3
KR_8351162492,200,False,Jinx,315560,31,Thresh,138097,15
KR_8351086698,100,True,Caitlyn,153080,17,Sylas,49143,7
KR_8351086698,200,False,Yunara,79338,10,Lulu,9700,3
KR_8350987623,100,True,Kalista,57309,8,Nautilus,91892,11
KR_8350987623,200,False,Yunara,79338,10,Lulu,106186,12
KR_8350879633,100,True,Aphelios,85840,10,Thresh,64221,8
KR_8350879633,200,False,Ziggs,30631,5,Singed,2357013,150
KR_8349782807,100,False,Caitlyn,6818,3,Lux,133200,15
KR_8349782807,200,True,Ezreal,38559,6,Karma,56833,8
KR_8347771130,100,False,Caitlyn,90131,11,Karma,35802,6
KR_8347771130,200,True,Jinx,384475,38,Lulu,186618,20
KR_8347540120,100,True,Ezreal,137938,15,Lissandra,2310379,186
KR_8347540120,200,False,Vladimir,4945121,354,Camille,51605,7
KR_8347392829,100,True,Xerath,1351723,126,Shen,78678,10
KR_8347392829,200,False,Viktor,79421,10,Alistar,541972,52
KR_8347323680,100,True,Tristana,34509,6,Braum,400890,39
KR_8347323680,200,False,Draven,487570,47,Nautilus,694055,66
KR_8346765343,100,False,Caitlyn,3428,2,Elise,79280,10
KR_8346765343,200,True,Ezreal,372901,37,Seraphine,24884,5
KR_8346464182,100,False,Tristana,49387,7,Nautilus,20542,4
KR_8346464182,200,True,Viktor,132055,15,Bard,36243,6
KR_8346451176,100,False,Yunara,525914,50,Seraphine,95251,11
KR_8346451176,200,True,Kalista,143923,16,Renata,17372,4
KR_8346406942,100,True,Kaisa,426341,41,Camille,51312,7
KR_8346406942,200,False,Jhin,301220,30,Shen,66589,9
KR_8346101007,100,True,Ezreal,202355,21,Karma,33663,6
KR_8346101007,200,False,Tristana,15117,4,Lulu,19357,4
KR_8346031984,100,False,Yunara,90567,11,Nautilus,112579,13
KR_8346031984,200,True,Kalista,271315,27,Rell,166828,18
KR_8354645141,100,True,Syndra,3426,2,TahmKench,119253,13
KR_8354645141,200,False,Yunara,106463,12,Lulu,142125,16
KR_8354587815,100,False,Aphelios,7374,3,Thresh,64221,8
KR_8354587815,200,True,Corki,43009,7,Leona,89584,11
KR_8350827668,100,True,Jhin,329868,33,Camille,31974,6
KR_8350827668,200,False,Ezreal,959551,90,Volibear,3391363,311
KR_8350761897,100,False,Kalista,57309,8,Pantheon,19722,4
KR_8350761897,200,True,Lucian,11440,3,Skarner,172011,18
KR_8350702056,100,False,Draven,174997,19,Camille,41823,6
KR_8350702056,200,True,Jinx,33068,6,Blitzcrank,5012,2
KR_8348631100,100,True,Syndra,201703,21,Camille,16720,4
KR_8348631100,200,False,Jhin,312630,31,Zoe,1082604,98
KR_8347668508,100,False,Aphelios,430856,42,Thresh,14548,4
KR_8347668508,200,True,Kaisa,76765,10,Rell,317058,31
KR_8351860951,100,True,Kaisa,153673,17,Nautilus,78392,10
KR_8351860951,200,False,Ezreal,594136,57,Elise,179303,19
KR_8351804965,100,False,Draven,174997,19,Pyke,277961,28
KR_8351804965,200,True,Kalista,611740,58,Taric,57151,8
KR_8349070225,100,False,Ezreal,6310,3,Leona,5022,2
KR_8349070225,200,True,Kalista,611740,58,Nautilus,8819,3
KR_8347931877,100,False,Kaisa,232566,24,Neeko,204065,21
KR_8347931877,200,True,Kalista,611740,58,Renata,23832,5
KR_8347908335,100,False,Tristana,301153,30,Shen,4039,2
KR_8347908335,200,True,Kalista,611740,58,Rakan,30153,5
KR_8346745910,100,True,Kalista,611740,58,Renata,71248,9
KR_8346745910,200,False,Ezreal,164689,18,Poppy,19813,4
KR_8345589624,100,False,Kaisa,46232,7,Skarner,172011,18
KR_8345589624,200,True,Ezreal,594136,57,Rell,50221,7
KR_8343232194,100,True,Qiyana,1290390,120,Pyke,722307,68
KR_8343232194,200,False,Xayah,556833,53,Rakan,140314,15
KR_8343154584,100,False,Zed,11575,3,Shen,2769,2
KR_8343154584,200,True,Corki,94093,11,Alistar,470726,45
KR_8343078857,100,True,Malphite,3923,2,Sylas,5225,2
KR_8343078857,200,False,Katarina,383007,37,Alistar,470726,45
KR_8343002491,100,False,Kaisa,80299,10,Neeko,17924,4
KR_8343002491,200,True,Lucian,232686,24,Milio,73668,9
KR_8342950277,100,False,Mel,81477,10,Karma,41227,6
KR_8342950277,200,True,Ezreal,594136,57,Pyke,35957,6
KR_8342879569,100,False,Jhin,240868,25,Pyke,722307,68
KR_8342879569,200,True,Ezreal,594136,57,Poppy,184683,19
KR_8342817817,100,True,Ezreal,594136,57,Karma,373285,37
KR_8342817817,200,False,Caitlyn,584216,56,Bard,267780,27
KR_8342765089,100,True,Katarina,383007,37,Shen,58334,8
KR_8342765089,200,False,Lucian,232686,24,Pantheon,6090,3
KR_8342716906,100,True,Caitlyn,584216,56,Nautilus,22362,5
KR_8342716906,200,False,Ezreal,1079305,101,Karma,62977,8
KR_8342656966,100,True,Ezreal,594136,57,Pyke,261681,26
KR_8342656966,200,False,Jhin,360999,35,Bard,70480,9
KR_8355143717,100,False,Xayah,37003,6,Rell,2498772,230
KR_8355143717,200,True,Kaisa,642516,61,Alistar,117874,13
KR_8354117349,100,False,Kalista,16933,4,Renata,15933,4
KR_8354117349,200,True,Jhin,290424,29,Pyke,645187,61
KR_8354096592,100,False,Yasuo,62097,8,Camille,112193,13
KR_8354096592,200,True,Lucian,401521,39,Rakan,396040,39
KR_8354069866,100,True,Ezreal,29513,5,Leona,132678,15
KR_8354069866,200,False,Kaisa,96841,11,Blitzcrank,146478,16
KR_8352930855,100,True,Ziggs,44042,7,Pyke,722307,68
KR_8352930855,200,False,Ezreal,29513,5,Rakan,140314,15
KR_8347470839,100,True,Aphelios,758620,72,Bard,88518,11
KR_8347470839,200,False,Ezreal,145007,16,Pyke,506237,49
KR_8352883674,100,True,Xerath,1168539,108,Alistar,16118,4
KR_8352883674,200,False,Viktor,56427,8,Camille,71918,9
KR_8352825377,100,True,Varus,247301,25,Bard,417008,41
KR_8352825377,200,False,Kalista,99947,12,Renata,54490,8
KR_8352751854,100,True,Yunara,154062,17,Lulu,46381,7
KR_8352751854,200,False,Kalista,915061,86,Nautilus,255446,26
KR_8352003936,100,True,Lucian,63311,8,Milio,13646,4
KR_8352003936,200,False,Kalista,34768,6,Renata,17372,4
KR_8351903966,100,True,Ezreal,164689,18,Alistar,27814,5
KR_8351903966,200,False,Jhin,22876,5,Pyke,22091,5
KR_8351535979,100,True,Zeri,43757,7,Rell,6103,3
KR_8351535979,200,False,Viktor,112403,13,Senna,299255,30
KR_8351529308,100,False,Ezreal,164689,18,Karma,33663,6
KR_8351529308,200,True,Jhin,44335,7,Bard,417008,41
KR_8351496431,100,True,Zyra,1904210,176,Poppy,151363,16
KR_8351496431,200,False,Kaisa,23648,5,Alistar,423032,41
KR_8351445185,100,True,Ezreal,565735,54,Karma,43200,7
KR_8351445185,200,False,Jhin,22876,5,Bard,585069,56
KR_8351063357,100,False,Kalista,198171,21,Renata,17372,4
KR_8351063357,200,True,Yunara,53656,8,Lulu,330040,33
KR_8350978218,100,False,Sivir,169196,18,Pyke,247018,25
KR_8350978218,200,True,Ezreal,1000704,94,Karma,124023,14
KR_8350871250,100,False,Jhin,360999,35,Heimerdinger,29060,5
KR_8350871250,200,True,Kalista,23276,5,Elise,213268,22
KR_8350809347,100,True,Ezreal,372901,37,Rumble,8308,3
KR_8350809347,200,False,Kaisa,564006,54,Pyke,22091,5
KR_8350735423,100,True,Ziggs,74279,9,Sylas,172803,18
KR_8350735423,200,False,Syndra,78087,10,Alistar,11435,3
KR_8350678499,100,False,Yasuo,1616266,150,Braum,13773,4
KR_8350678499,200,True,Cassiopeia,25565,5,Leona,13564,4
KR_8350621933,100,True,Kalista,137771,15,Alistar,1081,1
